## REPORT METADATA
Start Date,2026-07-17
End Date,2026-07-23
Week Ending,"July 23rd, 2026"
Date Range Label,"July 17 – July 23, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,159,24,15.1%,127,79.9%
Show Rate,49.1%,75.0%,,44.1%,
Showed,78,18,23.1%,56,71.8%
Qualified,73,16,21.9%,53,72.6%
Closed Won,11,0,0.0%,10,90.9%
Close Rate (b→c),6.9%,0.0%,,7.9%,
Revenue,"$88,238",$0,0.0%,"$82,241",93.2%
Avg Deal,"$8,022",,,"$8,224",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Instagram,,21,21,7% (300),15,71.4%,15,71.4%,,0.0%,$0,
EXTERNAL,X,,1,1,10% (10),1,100.0%,0,0.0%,,0.0%,$0,
EXTERNAL,Linkedin,,2,2,20% (10),2,100.0%,1,50.0%,,0.0%,$0,
IN-HOUSE,YouTube,,13,13,10% (132),12,92.3%,8,61.5%,2,15.4%,"$15,397","$7,698"
IN-HOUSE,Meta Ads,,18,18,41% (44),5,27.8%,5,27.8%,,0.0%,$0,
IN-HOUSE,Website,,30,30,30% (100),14,46.7%,16,53.3%,6,20.0%,"$50,982","$8,497"
IN-HOUSE,Internal Webinar,,8,8,11% (70),4,50.0%,4,50.0%,2,25.0%,"$15,862","$7,931"
IN-HOUSE,Reactivation Email,,1,1,,0,0.0%,0,0.0%,,0.0%,$0,
IN-HOUSE,Reactivation Scrapers,,56,56,,20,35.7%,20,35.7%,,0.0%,$0,
IN-HOUSE,Google Ads,,1,1,,1,100.0%,0,0.0%,,0.0%,$0,
UNCATEGORIZED,Anthony X,,1,1,,1,100.0%,1,100.0%,,0.0%,$0,
UNCATEGORIZED,No Attribution,,4,4,,2,50.0%,2,50.0%,,0.0%,$0,
UNCATEGORIZED,Sales Reactivation,,1,1,,1,100.0%,1,100.0%,,0.0%,$0,
UNCATEGORIZED,LTF - In-House,,2,2,,0,0.0%,0,0.0%,1,50.0%,"$5,997","$5,997"
TOTAL,TOTAL,,159,,,78,49.1%,73,45.9%,11,6.9%,"$88,238","$8,022"
